region	n	trait	results	abbreviation	category	color
region_chr11_133130151_134336099	23	pgc.scz2	spredixcan_sqtl	SCZ	Psychiatric-neurologic	#0000A0
region_chr11_59013076_62456299	159	Astle_et_al_2016_Eosinophil_counts	spredixcan_sqtl	EC	Blood	#C00000
region_chr21_44757190_46072312	53	UKB_23099_Body_fat_percentage	spredixcan_sqtl	FAT_UKB	Anthropometric	#404040
region_chr2_166499460_169111726	154	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr2_176498908_177688455	5	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	spredixcan_sqtl	BLDP4_UKB	Hair morphology	#808000
region_chr2_8282017_10158342	7	UKB_6152_8_diagnosed_by_doctor_Asthma	spredixcan_sqtl	ATH_UKB	Immune	#40A0A0
region_chr4_82451440_83878503	16	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	spredixcan_sqtl	NEC	Blood	#C00000
region_chr5_107928495_109298233	2	UKB_23099_Body_fat_percentage	spredixcan_sqtl	FAT_UKB	Anthropometric	#404040
region_chr6_28050041_28949831	569	IMMUNOBASE_Systemic_lupus_erythematosus_hg19	spredixcan_sqtl	SLE	Immune	#40A0A0
region_chr6_30830391_31603441	1651	Astle_et_al_2016_Sum_basophil_neutrophil_counts	spredixcan_sqtl	BNC	Blood	#C00000
region_chr6_35487979_37604820	72	UKB_23099_Body_fat_percentage	spredixcan_sqtl	FAT_UKB	Anthropometric	#404040
region_chr8_10605687_11421489	37	Astle_et_al_2016_Sum_basophil_neutrophil_counts	spredixcan_sqtl	BNC	Blood	#C00000
region_chr8_129368893_130627379	43	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr14_93858939_95284530	22	Astle_et_al_2016_Sum_eosinophil_basophil_counts	spredixcan_sqtl	EBC	Blood	#C00000
region_chr15_69841002_71630310	42	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr19_48778970_51029311	86	Astle_et_al_2016_Reticulocyte_count	spredixcan_sqtl	RET	Blood	#C00000
region_chr19_9127717_11173352	71	MAGNETIC_IDL.TG	spredixcan_sqtl	IDL	Cardiometabolic	#004000
region_chr1_14565015_16571235	8	UKB_1180_Morning_or_evening_person_chronotype	spredixcan_sqtl	CHRONO_UKB	Psychiatric-neurologic	#0000A0
region_chr1_31973084_34334157	727	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr20_716956_2488855	2	Astle_et_al_2016_Lymphocyte_counts	spredixcan_sqtl	LC	Blood	#C00000
region_chr2_109814855_113164279	7	Astle_et_al_2016_Neutrophil_count	spredixcan_sqtl	NC	Blood	#C00000
region_chr2_172274177_174724201	46	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr2_228506071_230978674	22	Astle_et_al_2016_Eosinophil_counts	spredixcan_sqtl	EC	Blood	#C00000
region_chr2_232685293_234242343	5	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	spredixcan_sqtl	HAY_UKB	Immune	#40A0A0
region_chr2_84913556_87738988	96	CARDIoGRAM_C4D_CAD_ADDITIVE	spredixcan_sqtl	CAD	Cardiometabolic	#004000
region_chr2_94660727_98378738	757	Astle_et_al_2016_Eosinophil_counts	spredixcan_sqtl	EC	Blood	#C00000
region_chr3_114229016_115728233	21	UKB_2395_2_Hair_or_balding_pattern_Pattern_2	spredixcan_sqtl	BLDP2_UKB	Hair morphology	#808000
region_chr3_42498510_45123661	10	Astle_et_al_2016_Sum_basophil_neutrophil_counts	spredixcan_sqtl	BNC	Blood	#C00000
region_chr3_88249223_94536472	2	UKB_23099_Body_fat_percentage	spredixcan_sqtl	FAT_UKB	Anthropometric	#404040
region_chr4_17381699_18840251	13	EGG_BW3_EUR	spredixcan_sqtl	BW	Anthropometric	#404040
region_chr5_130183332_132803957	732	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	spredixcan_sqtl	NEC	Blood	#C00000
region_chr6_1452127_2458702	30	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr6_28949831_29770194	94	Astle_et_al_2016_Lymphocyte_counts	spredixcan_sqtl	LC	Blood	#C00000
region_chr6_28949831_29770194	109	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	spredixcan_sqtl	NEC	Blood	#C00000
region_chr6_32714887_33268720	138	pgc.scz2	spredixcan_sqtl	SCZ	Psychiatric-neurologic	#0000A0
region_chr9_36743286_38641602	29	UKB_1180_Morning_or_evening_person_chronotype	spredixcan_sqtl	CHRONO_UKB	Psychiatric-neurologic	#0000A0
region_chr11_46984586_49844498	880	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr17_41743558_43694719	121	UKB_23099_Body_fat_percentage	spredixcan_sqtl	FAT_UKB	Anthropometric	#404040
region_chr17_65152010_66804312	23	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr19_4348970_5811841	6	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr19_48778970_51029311	118	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	spredixcan_sqtl	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr1_7187275_9305140	49	UKB_20002_1111_self_reported_asthma	spredixcan_sqtl	ATH_UKBS	Allergy	#FFFF00
region_chr22_19924835_22002927	266	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	spredixcan_sqtl	HAY_UKB	Immune	#40A0A0
region_chr5_130183332_132803957	175	EAGLE_Eczema	spredixcan_sqtl	ECZ	Allergy	#FFFF00
region_chr5_170078660_171647288	58	UKB_23099_Body_fat_percentage	spredixcan_sqtl	FAT_UKB	Anthropometric	#404040
region_chr5_36433852_38802308	90	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr6_32714887_33268720	297	UKB_20002_1261_self_reported_multiple_sclerosis	spredixcan_sqtl	MS_UKBS	Psychiatric-neurologic	#0000A0
region_chr6_62842983_65055849	4	UKB_6152_8_diagnosed_by_doctor_Asthma	spredixcan_sqtl	ATH_UKB	Immune	#40A0A0
region_chr8_23039544_24817205	5	Astle_et_al_2016_Granulocyte_count	spredixcan_sqtl	GC	Blood	#C00000
region_chr9_98830577_101862155	75	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr10_102620653_104935290	428	UKB_20022_Birth_weight	spredixcan_sqtl	BW_UKB	Anthropometric	#404040
region_chr10_49632869_51856869	1	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr11_128318642_130472680	12	Astle_et_al_2016_Platelet_count	spredixcan_sqtl	PLT	Blood	#C00000
region_chr12_6310587_8224940	14	Astle_et_al_2016_Platelet_count	spredixcan_sqtl	PLT	Blood	#C00000
region_chr13_112918174_114344378	525	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr17_43694719_44979537	660	Astle_et_al_2016_Reticulocyte_count	spredixcan_sqtl	RET	Blood	#C00000
region_chr17_59410151_61235394	138	Astle_et_al_2016_Myeloid_white_cell_count	spredixcan_sqtl	MWBC	Blood	#C00000
region_chr19_15537799_16263605	98	Astle_et_al_2016_Lymphocyte_counts	spredixcan_sqtl	LC	Blood	#C00000
region_chr19_37036131_39679979	174	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr1_226623159_229020501	81	Astle_et_al_2016_Granulocyte_count	spredixcan_sqtl	GC	Blood	#C00000
region_chr1_37083582_38266175	40	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr1_44503511_46433829	360	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr1_87662948_89600744	2	UKB_20002_1065_self_reported_hypertension	spredixcan_sqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr2_237852338_239030947	2	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	spredixcan_sqtl	BLDP4_UKB	Hair morphology	#808000
region_chr3_42498510_45123661	127	Astle_et_al_2016_Monocyte_count	spredixcan_sqtl	MC	Blood	#C00000
region_chr4_37253425_38905401	310	Astle_et_al_2016_Sum_eosinophil_basophil_counts	spredixcan_sqtl	EBC	Blood	#C00000
region_chr5_173251324_174215868	3	Astle_et_al_2016_Myeloid_white_cell_count	spredixcan_sqtl	MWBC	Blood	#C00000
region_chr6_40377376_42070983	132	Astle_et_al_2016_Reticulocyte_count	spredixcan_sqtl	RET	Blood	#C00000
region_chr7_99117851_100599028	2	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr9_14836365_16659657	77	UKB_21001_Body_mass_index_BMI	spredixcan_sqtl	BMI_UKB	Anthropometric	#404040
region_chr11_84670229_86908259	26	IGAP_Alzheimer	spredixcan_sqtl	AD	Psychiatric-neurologic	#0000A0
region_chr14_21121243_22549721	286	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr15_89932319_91621162	149	pgc.scz2	spredixcan_sqtl	SCZ	Psychiatric-neurologic	#0000A0
region_chr16_88974757_90226404	357	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr17_44979537_47798656	1567	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_sqtl	HRET	Blood	#C00000
region_chr17_5838014_7414079	69	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	spredixcan_sqtl	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr17_66804312_69862629	208	UKB_21001_Body_mass_index_BMI	spredixcan_sqtl	BMI_UKB	Anthropometric	#404040
region_chr19_44239955_45599439	1	CARDIoGRAM_C4D_CAD_ADDITIVE	spredixcan_sqtl	CAD	Cardiometabolic	#004000
region_chr19_9127717_11173352	222	Astle_et_al_2016_Lymphocyte_counts	spredixcan_sqtl	LC	Blood	#C00000
region_chr2_66999034_67783044	71	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	spredixcan_sqtl	BLDP4_UKB	Hair morphology	#808000
region_chr3_128476018_130525891	5	IMMUNOBASE_Systemic_lupus_erythematosus_hg19	spredixcan_sqtl	SLE	Immune	#40A0A0
region_chr4_55681477_58068842	15	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr5_141266403_143601683	1	Astle_et_al_2016_Platelet_count	spredixcan_sqtl	PLT	Blood	#C00000
region_chr5_76503041_78327508	41	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr6_11790583_13209156	4	UKB_23099_Body_fat_percentage	spredixcan_sqtl	FAT_UKB	Anthropometric	#404040
region_chr6_33268720_35487979	7	UKB_20022_Birth_weight	spredixcan_sqtl	BW_UKB	Anthropometric	#404040
region_chr7_129138332_130737653	23	UKB_20002_1065_self_reported_hypertension	spredixcan_sqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr8_11421489_13634266	1	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr8_26825008_28304875	28	IGAP_Alzheimer	spredixcan_sqtl	AD	Psychiatric-neurologic	#0000A0
region_chr9_136605890_138254346	529	Astle_et_al_2016_Lymphocyte_counts	spredixcan_sqtl	LC	Blood	#C00000
region_chr10_129046020_129943063	8	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr11_107973474_108566310	95	Astle_et_al_2016_Granulocyte_count	spredixcan_sqtl	GC	Blood	#C00000
region_chr13_98286665_99921841	1	SSGAC_Education_Years_Pooled	spredixcan_sqtl	EDU	Psychiatric-neurologic	#0000A0
region_chr13_98286665_99921841	46	UKB_23099_Body_fat_percentage	spredixcan_sqtl	FAT_UKB	Anthropometric	#404040
region_chr14_58981618_61213706	15	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr15_83591716_86109674	135	UKB_23099_Body_fat_percentage	spredixcan_sqtl	FAT_UKB	Anthropometric	#404040
region_chr17_18953007_21387045	6	UKB_23099_Body_fat_percentage	spredixcan_sqtl	FAT_UKB	Anthropometric	#404040
region_chr19_44239955_45599439	86	MAGNETIC_LDL.C	spredixcan_sqtl	LDLC	Cardiometabolic	#004000
region_chr20_25363595_33027017	263	UKB_23099_Body_fat_percentage	spredixcan_sqtl	FAT_UKB	Anthropometric	#404040
region_chr2_43082452_44086664	44	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	spredixcan_sqtl	BLDP4_UKB	Hair morphology	#808000
region_chr3_156290911_157594239	208	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr5_123221211_124462407	4	UKB_21001_Body_mass_index_BMI	spredixcan_sqtl	BMI_UKB	Anthropometric	#404040
region_chr5_88094174_89595713	53	UKB_21001_Body_mass_index_BMI	spredixcan_sqtl	BMI_UKB	Anthropometric	#404040
region_chr6_29770194_30830391	740	pgc.scz2	spredixcan_sqtl	SCZ	Psychiatric-neurologic	#0000A0
region_chr6_31603441_32714887	3033	Astle_et_al_2016_White_blood_cell_count	spredixcan_sqtl	WBC	Blood	#C00000
region_chr7_16862445_19441924	4	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr11_46984586_49844498	501	UKB_21001_Body_mass_index_BMI	spredixcan_sqtl	BMI_UKB	Anthropometric	#404040
region_chr13_70952659_73359952	2	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	spredixcan_sqtl	HAY_UKB	Immune	#40A0A0
region_chr14_102545765_104535386	44	Astle_et_al_2016_Platelet_count	spredixcan_sqtl	PLT	Blood	#C00000
region_chr14_54766963_55750162	12	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr14_64753580_65932837	173	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr15_66802429_68725660	3	Astle_et_al_2016_Eosinophil_counts	spredixcan_sqtl	EC	Blood	#C00000
region_chr19_2098397_3019662	133	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr19_44239955_45599439	3	UKB_21001_Body_mass_index_BMI	spredixcan_sqtl	BMI_UKB	Anthropometric	#404040
region_chr19_610729_2098397	11	Astle_et_al_2016_White_blood_cell_count	spredixcan_sqtl	WBC	Blood	#C00000
region_chr1_170588635_173128768	76	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr22_40149793_42294812	43	BCAC_ER_negative_BreastCancer_EUR	spredixcan_sqtl	ERNBC	Cancer	#A0A0A0
region_chr22_44599428_46074615	58	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	spredixcan_sqtl	BLDP4_UKB	Hair morphology	#808000
region_chr3_4389963_6041496	3	BCAC_Overall_BreastCancer_EUR	spredixcan_sqtl	BC	Cancer	#A0A0A0
region_chr5_71944629_74463501	34	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr6_26791023_28050041	12	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_sqtl	HRET	Blood	#C00000
region_chr6_28050041_28949831	2	UKB_20002_1111_self_reported_asthma	spredixcan_sqtl	ATH_UKBS	Allergy	#FFFF00
region_chr6_42070983_43788432	4	UKB_21001_Body_mass_index_BMI	spredixcan_sqtl	BMI_UKB	Anthropometric	#404040
region_chr7_44724229_45913323	78	Astle_et_al_2016_Myeloid_white_cell_count	spredixcan_sqtl	MWBC	Blood	#C00000
region_chr10_44234627_46978910	194	Astle_et_al_2016_Lymphocyte_counts	spredixcan_sqtl	LC	Blood	#C00000
region_chr11_64037097_66131160	481	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_sqtl	HRET	Blood	#C00000
region_chr11_8311727_9065770	66	UKB_21001_Body_mass_index_BMI	spredixcan_sqtl	BMI_UKB	Anthropometric	#404040
region_chr15_89932319_91621162	298	UKB_20002_1065_self_reported_hypertension	spredixcan_sqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr16_10054_1157206	139	UKB_21001_Body_mass_index_BMI	spredixcan_sqtl	BMI_UKB	Anthropometric	#404040
region_chr16_29025292_31371622	49	IMMUNOBASE_Systemic_lupus_erythematosus_hg19	spredixcan_sqtl	SLE	Immune	#40A0A0
region_chr19_18299052_19766662	7	UKB_23099_Body_fat_percentage	spredixcan_sqtl	FAT_UKB	Anthropometric	#404040
region_chr1_66473721_68012212	3	IBD.EUR.Inflammatory_Bowel_Disease	spredixcan_sqtl	IBD	Immune	#40A0A0
region_chr2_232685293_234242343	140	IBD.EUR.Inflammatory_Bowel_Disease	spredixcan_sqtl	IBD	Immune	#40A0A0
region_chr2_87738988_88855013	21	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr3_140235755_141620255	102	Astle_et_al_2016_Sum_basophil_neutrophil_counts	spredixcan_sqtl	BNC	Blood	#C00000
region_chr3_47685722_49279539	2451	Astle_et_al_2016_Reticulocyte_count	spredixcan_sqtl	RET	Blood	#C00000
region_chr3_56399879_58171792	542	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr5_66615458_68555033	59	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr6_137293081_138501492	70	IMMUNOBASE_Systemic_lupus_erythematosus_hg19	spredixcan_sqtl	SLE	Immune	#40A0A0
region_chr6_47344162_48423389	26	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr6_52345678_53414304	11	Astle_et_al_2016_Platelet_count	spredixcan_sqtl	PLT	Blood	#C00000
region_chr8_139713400_141963553	1	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_sqtl	HRET	Blood	#C00000
region_chr11_116512631_117876395	9	Astle_et_al_2016_Platelet_count	spredixcan_sqtl	PLT	Blood	#C00000
region_chr11_15721006_17556855	174	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr12_121569746_124493434	1532	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr13_28683414_29909130	2	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr15_101012489_101980763	6	Astle_et_al_2016_Sum_basophil_neutrophil_counts	spredixcan_sqtl	BNC	Blood	#C00000
region_chr15_62923023_64812469	14	Astle_et_al_2016_White_blood_cell_count	spredixcan_sqtl	WBC	Blood	#C00000
region_chr16_10054_1157206	953	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr17_29007226_31459473	300	Astle_et_al_2016_Monocyte_count	spredixcan_sqtl	MC	Blood	#C00000
region_chr18_48413361_50204214	137	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr2_241210506_242147200	542	Astle_et_al_2016_Sum_eosinophil_basophil_counts	spredixcan_sqtl	EBC	Blood	#C00000
region_chr3_196244537_197349116	9	Astle_et_al_2016_White_blood_cell_count	spredixcan_sqtl	WBC	Blood	#C00000
region_chr4_73726673_76209554	1	Astle_et_al_2016_Myeloid_white_cell_count	spredixcan_sqtl	MWBC	Blood	#C00000
region_chr5_88094174_89595713	33	Astle_et_al_2016_Red_blood_cell_count	spredixcan_sqtl	RBC	Blood	#C00000
region_chr6_108143176_109983044	10	Astle_et_al_2016_Myeloid_white_cell_count	spredixcan_sqtl	MWBC	Blood	#C00000
region_chr6_166611245_167642155	137	RA_OKADA_TRANS_ETHNIC	spredixcan_sqtl	RA	Immune	#40A0A0
region_chr6_28949831_29770194	131	RA_OKADA_TRANS_ETHNIC	spredixcan_sqtl	RA	Immune	#40A0A0
region_chr6_33268720_35487979	322	UKB_20002_1464_self_reported_rheumatoid_arthritis	spredixcan_sqtl	RA_UKBS	Immune	#40A0A0
region_chr11_64037097_66131160	2	UKB_6152_8_diagnosed_by_doctor_Asthma	spredixcan_sqtl	ATH_UKB	Immune	#40A0A0
region_chr11_66131160_68238358	1	Astle_et_al_2016_Eosinophil_counts	spredixcan_sqtl	EC	Blood	#C00000
region_chr12_32924055_37462915	2	UKB_1180_Morning_or_evening_person_chronotype	spredixcan_sqtl	CHRONO_UKB	Psychiatric-neurologic	#0000A0
region_chr17_38653091_40721152	2	Astle_et_al_2016_Eosinophil_counts	spredixcan_sqtl	EC	Blood	#C00000
region_chr17_61235394_63468228	185	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr17_79302554_80863788	27	Astle_et_al_2016_Reticulocyte_count	spredixcan_sqtl	RET	Blood	#C00000
region_chr19_11173352_13360313	476	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_sqtl	HRET	Blood	#C00000
region_chr19_9127717_11173352	93	IBD.EUR.Inflammatory_Bowel_Disease	spredixcan_sqtl	IBD	Immune	#40A0A0
region_chr1_43292786_44503511	119	PGC_ADHD_EUR_2017	spredixcan_sqtl	ADHD	Psychiatric-neurologic	#0000A0
region_chr1_97419693_99335048	27	UKB_23099_Body_fat_percentage	spredixcan_sqtl	FAT_UKB	Anthropometric	#404040
region_chr20_20979069_22510818	29	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr22_19924835_22002927	356	Astle_et_al_2016_Lymphocyte_counts	spredixcan_sqtl	LC	Blood	#C00000
region_chr2_102072305_102971757	198	UKB_20002_1111_self_reported_asthma	spredixcan_sqtl	ATH_UKBS	Allergy	#FFFF00
region_chr3_187172556_189138425	8	Astle_et_al_2016_Sum_eosinophil_basophil_counts	spredixcan_sqtl	EBC	Blood	#C00000
region_chr4_82451440_83878503	27	Astle_et_al_2016_Eosinophil_counts	spredixcan_sqtl	EC	Blood	#C00000
region_chr5_157201689_159398690	15	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr5_171647288_173251324	71	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr5_71944629_74463501	28	Astle_et_al_2016_Neutrophil_count	spredixcan_sqtl	NC	Blood	#C00000
region_chr6_25684359_26791023	417	pgc.scz2	spredixcan_sqtl	SCZ	Psychiatric-neurologic	#0000A0
region_chr6_28949831_29770194	125	Astle_et_al_2016_Myeloid_white_cell_count	spredixcan_sqtl	MWBC	Blood	#C00000
region_chr10_26599755_29034307	146	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	spredixcan_sqtl	NEC	Blood	#C00000
region_chr10_44234627_46978910	9	Astle_et_al_2016_Monocyte_count	spredixcan_sqtl	MC	Blood	#C00000
region_chr10_61581937_64034354	49	Astle_et_al_2016_White_blood_cell_count	spredixcan_sqtl	WBC	Blood	#C00000
region_chr10_73662792_76947056	2	UKB_21001_Body_mass_index_BMI	spredixcan_sqtl	BMI_UKB	Anthropometric	#404040
region_chr11_12542682_13351577	2	UKB_20127_Neuroticism_score	spredixcan_sqtl	NEUROT_UKB	Psychiatric-neurologic	#0000A0
region_chr12_55272053_57155077	127	RA_OKADA_TRANS_ETHNIC	spredixcan_sqtl	RA	Immune	#40A0A0
region_chr13_18445873_20112581	15	UKB_23099_Body_fat_percentage	spredixcan_sqtl	FAT_UKB	Anthropometric	#404040
region_chr13_26710225_28683414	1	Astle_et_al_2016_Myeloid_white_cell_count	spredixcan_sqtl	MWBC	Blood	#C00000
region_chr13_40495126_42526891	102	Astle_et_al_2016_Monocyte_count	spredixcan_sqtl	MC	Blood	#C00000
region_chr17_15115780_16509028	1251	Astle_et_al_2016_Myeloid_white_cell_count	spredixcan_sqtl	MWBC	Blood	#C00000
region_chr17_16509028_18953007	425	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr17_47798656_49440038	43	Astle_et_al_2016_Red_blood_cell_count	spredixcan_sqtl	RBC	Blood	#C00000
region_chr18_23069508_25416687	95	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr1_93070902_94040635	53	Astle_et_al_2016_Monocyte_count	spredixcan_sqtl	MC	Blood	#C00000
region_chr21_39110976_40017600	45	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr2_172274177_174724201	25	UKB_21001_Body_mass_index_BMI	spredixcan_sqtl	BMI_UKB	Anthropometric	#404040
region_chr4_17381699_18840251	313	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr5_130183332_132803957	730	Astle_et_al_2016_Monocyte_count	spredixcan_sqtl	MC	Blood	#C00000
region_chr6_26791023_28050041	1	Astle_et_al_2016_Neutrophil_count	spredixcan_sqtl	NC	Blood	#C00000
region_chr6_29770194_30830391	1277	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	spredixcan_sqtl	NEC	Blood	#C00000
region_chr6_29770194_30830391	1040	IMMUNOBASE_Systemic_lupus_erythematosus_hg19	spredixcan_sqtl	SLE	Immune	#40A0A0
region_chr7_148118226_150143569	113	Astle_et_al_2016_Neutrophil_count	spredixcan_sqtl	NC	Blood	#C00000
region_chr7_2022763_2732593	1	UKB_20022_Birth_weight	spredixcan_sqtl	BW_UKB	Anthropometric	#404040
region_chr8_7295557_9297184	202	Astle_et_al_2016_White_blood_cell_count	spredixcan_sqtl	WBC	Blood	#C00000
region_chr12_47321010_48608083	124	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr15_47843851_49715846	1	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr17_2025437_3799018	1	UKB_20127_Neuroticism_score	spredixcan_sqtl	NEUROT_UKB	Psychiatric-neurologic	#0000A0
region_chr17_82076532_83247139	15	Astle_et_al_2016_Reticulocyte_count	spredixcan_sqtl	RET	Blood	#C00000
region_chr19_45599439_46646825	146	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr1_16571235_18336405	62	RA_OKADA_TRANS_ETHNIC	spredixcan_sqtl	RA	Immune	#40A0A0
region_chr1_208237019_210614406	5	UKB_21001_Body_mass_index_BMI	spredixcan_sqtl	BMI_UKB	Anthropometric	#404040
region_chr1_29689034_31973084	244	UKB_21001_Body_mass_index_BMI	spredixcan_sqtl	BMI_UKB	Anthropometric	#404040
region_chr2_24464049_26672117	139	Astle_et_al_2016_Lymphocyte_counts	spredixcan_sqtl	LC	Blood	#C00000
region_chr2_24464049_26672117	270	UKB_21001_Body_mass_index_BMI	spredixcan_sqtl	BMI_UKB	Anthropometric	#404040
region_chr2_8282017_10158342	3	Astle_et_al_2016_Reticulocyte_count	spredixcan_sqtl	RET	Blood	#C00000
region_chr3_128476018_130525891	6	Astle_et_al_2016_White_blood_cell_count	spredixcan_sqtl	WBC	Blood	#C00000
region_chr4_1476986_2841252	312	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr5_141266403_143601683	3	Astle_et_al_2016_Sum_eosinophil_basophil_counts	spredixcan_sqtl	EBC	Blood	#C00000
region_chr5_56121522_57325275	163	BCAC_Overall_BreastCancer_EUR	spredixcan_sqtl	BC	Cancer	#A0A0A0
region_chr6_133923105_135903039	184	Astle_et_al_2016_Monocyte_count	spredixcan_sqtl	MC	Blood	#C00000
